Nombre,Estado,Fecha,ID Local,Persona que lo reporta,Subítem,Toteat Tipo,ítem principal
Peya V2 Migrar Padres e hijas,,,,,"• Validar con Leandro cuando retoman el proceso de migración para las tiendas faltantes por migrar a la Api v2 de Peya, las cuales cumplen con la estructura Padre e hijas ( menú vinculado) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/%E2%80%A2%20Validar%20con%20Leandro%20cuando%20retoman%20el%20proceso%20de%2016f390731e23805a9bd8f1e8e80cdd6e.html)",,Semana 1 (2 al 5 de Enero 2025) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%201%20(2%20al%205%20de%20Enero%202025)%2015f390731e238010bcabcaff43875397.html)
"Caso de Gorilas ",,,,,"Sedes faltantes por migrar a Api v2 de Peya (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Sedes%20faltantes%20por%20migrar%20a%20Api%20v2%20de%20Peya%2016f390731e23800a9141c58497bd850c.html), Sin título (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Sin%20t%C3%ADtulo%20170390731e2380df99d7e223bee853a4.html)",,Semana 1 (2 al 5 de Enero 2025) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%201%20(2%20al%205%20de%20Enero%202025)%2015f390731e238010bcabcaff43875397.html)
Sedes faltantes por migrar a Api v2 de Peya,,,,,,,Caso de Gorilas  (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Caso%20de%20Gorilas%2016f390731e238035b6cdf121d292fcad.html)
"• Validar con Leandro cuando retoman el proceso de migración para las tiendas faltantes por migrar a la Api v2 de Peya, las cuales cumplen con la estructura Padre e hijas ( menú vinculado)",,,,,"
https://toteat-espacio.slack.com/archives/C050G03E5U0/p1735830772584169 (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/https%20toteat-espacio%20slack%20com%20archives%20C050G03E5U%2016f390731e238016bdd7f2fc12517d67.html)",,Peya V2 Migrar Padres e hijas (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Peya%20V2%20Migrar%20Padres%20e%20hijas%2016f390731e2380cf95b9dda68195c582.html)
"
https://toteat-espacio.slack.com/archives/C050G03E5U0/p1735830772584169",,,,,,,"• Validar con Leandro cuando retoman el proceso de migración para las tiendas faltantes por migrar a la Api v2 de Peya, las cuales cumplen con la estructura Padre e hijas ( menú vinculado) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/%E2%80%A2%20Validar%20con%20Leandro%20cuando%20retoman%20el%20proceso%20de%2016f390731e23805a9bd8f1e8e80cdd6e.html)"
Semana 3 (13 al 19 de Enero),,,,,,,
Posible reunión con Rappi,,,,,,,Semana 1 (2 al 5 de Enero 2025) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%201%20(2%20al%205%20de%20Enero%202025)%2015f390731e238010bcabcaff43875397.html)
,,,,,,,Caso de Gorilas  (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Caso%20de%20Gorilas%2016f390731e238035b6cdf121d292fcad.html)
Procedimiento  en amb migrados de Toteat y activación de integraciones,,,,,,,Semana 1 (2 al 5 de Enero 2025) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%201%20(2%20al%205%20de%20Enero%202025)%2015f390731e238010bcabcaff43875397.html)
Sakura Cafe,,,,,,,Semana 1 (2 al 5 de Enero 2025) (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Semana%201%20(2%20al%205%20de%20Enero%202025)%2015f390731e238010bcabcaff43875397.html)
Semana 4 (20 al 26 de enero),,,,,,,
Semana 5 ( 27 de enero al 2  de Febrero),,,,,,,
Semana 6 ( 3 - 9 Febrero),,,,,,,
"Kento ",Solucionado,,6265500347006976-4,Larzaid Imperio,,,Febrero (Estado%20clientes%20cr%C3%ADticos%202025/Clientes%20Cr%C3%ADticos%20Semanal/Febrero%20197390731e2380a19364c7f1814a6172.html)
