Nombre de la tarea,Bloqueado por,Bloqueando,Estado,Etiquetas,Fecha límite,ID,Prioridad,Proyecto,Responsable,Subtareas,Tarea principal
Redactar Módulo 5,,,Completado,Procesos,23 de septiembre de 2024,46,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 5.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%205%201%20679da6bec4db4d4cba7176f68a5eb86d.html), Módulo 5.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%205%202%20932159cbd1ad407aa9e3f36dd64649fd.html), Módulo 5.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%205%203%203c00879049624f96b0706df2144cb8f7.html), Módulo 5.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%205%204%200477b2bdc9bc47dd90bb247631d8aa21.html), Módulo 5.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%205%205%2024cfe9494f5f4e7eadde38df1a6a7ef8.html), Módulo 5.6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%205%206%20aafd91263baa4bb78e7f4d7a403e1053.html)",
Módulo 5.1,,,Completado,,,47,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%205%20c9e1c21e7e7d432ca5fe5bb0ecb796a4.html)
Módulo 5.2,,,Completado,,,48,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%205%20c9e1c21e7e7d432ca5fe5bb0ecb796a4.html)
Módulo 5.3,,,Completado,,,49,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%205%20c9e1c21e7e7d432ca5fe5bb0ecb796a4.html)
Módulo 5.4,,,Completado,,,50,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%205%20c9e1c21e7e7d432ca5fe5bb0ecb796a4.html)
Módulo 5.5,,,Completado,,,51,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%205%20c9e1c21e7e7d432ca5fe5bb0ecb796a4.html)
Módulo 5.6,,,Completado,,,52,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%205%20c9e1c21e7e7d432ca5fe5bb0ecb796a4.html)
Redactar Módulo 6,,,Completado,Procesos,26 de septiembre de 2024,54,Media,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),Lorena Moreno,"Módulo 6.1 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%201%2012a1c21e8d2f41cf9cabfca8d412eda1.html), Módulo 6.2 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%202%20fe14d9aeffab466caf7f79561904c08f.html), Módulo 6.3 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%203%20df530a42c4884d34958c530e6b26ad0b.html), Módulo 6.4 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%204%206c7ff9cadb794d8ea22b9e761f3e7726.html), Módulo 6.5 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%205%20bf95b44ec25641c8b75fa2386c220dbd.html), Módulo 6.6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%206%2010009a731aac4f5e963567ea177996ee.html), Módulo 6.7 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/M%C3%B3dulo%206%207%20760ac9f433ab4ddf8ae9d6adaf64ed21.html)",
Módulo 6.1,,,Completado,,,55,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
Módulo 6.2,,,Completado,,,56,,Realización Contenido Flujo de Capacitación DTE (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Proyectos/Realizaci%C3%B3n%20Contenido%20Flujo%20de%20Capacitaci%C3%B3n%20DTE%20bcbb7cbb8ded4fd1818beb019b1cc0fd.html),,,Redactar Módulo 6 (Proyectos%20Lorena%20Moreno%20Doymar%20Raga/Tareas/Redactar%20M%C3%B3dulo%206%20839dedcafe5f4d98aea489465c24d980.html)
